,sentence,entities,countries_entities
89,"Hitler decided to help by sending in a few thousand troops, a Luftwaffe division, and the first-rate general Erwin Rommel.[63] Rommel managed to use his small force to repeatedly smash massively superior British forces and to recapture the port city of Tobruk and advance into Egypt.","['Hitler', 'a few thousand', 'Luftwaffe', 'first', 'Erwin', 'British', 'Tobruk', 'Egypt']",['Egypt']
90,"However, Hitler, embroiled in his invasion of the Soviet Union, refused to send Rommel any more troops, causing Rommel to retreat and preventing him from seizing the Middle East, where Axis-friendly regimes had taken root in Iraq and Persia (present-day Iran).[64][65]After the winter, Hitler launched a fresh offensive in the spring of 1942, with the aim of capturing the oil-rich Caucacus and the city of Stalingrad.","['Hitler', 'the Soviet Union', 'Rommel', 'Rommel', 'the Middle East', 'Iraq', 'Persia', 'present-day', 'the winter', 'Hitler', 'the spring of 1942', 'Caucacus', 'Stalingrad']",['Iraq']
99,"Parts of the German brass advised against declaring war on the US, arguing that since Japan was the aggressor, the Tripartite Pact didn't bind Germany to do so.","['German', 'US', 'Japan', 'the Tripartite Pact', 'Germany']","['Japan', 'Germany']"
100,"However, Hitler hoped that Japan would be able to quickly defeat the US and then turn its attention on helping the effort against Russia.","['Hitler', 'Japan', 'US', 'Russia']","['Japan', 'Russia']"
101,"Both Germany and Italy declared war on the United States a few days after the attack.[67]Turning tides[edit]A British soldier gives a V gesture to German prisoners captured at El Alamein, 26 October 1942Throughout the rest of 1942 and 1943, the Soviets began to gain ground against the Germans after some victories like the tank battle of Kursk.[68]","['Germany', 'Italy', 'the United States', 'a few days', 'British', 'German', 'El Alamein', '26', 'October', '1942', '1943', 'Soviets', 'Germans']","['Germany', 'Italy']"
102,"By this time, Rommel had been forced to abandon North Africa after a defeat by Montgomery at El Alamein in what was the first decisive victory of the Allies over the Germany army, leading Churchill to declare it ""the end of the beginning"".[69]","['Rommel', 'North Africa', 'Montgomery', 'El Alamein', 'first', 'Germany', 'Churchill']",['Germany']
107,"They drove out the Germans in Africa, invading Morocco and Algeria on 8 November 1942.[71]","['Germans', 'Africa', 'Morocco', 'Algeria', '8']","['Morocco', 'Algeria']"
108,"Then, on 10 July 1943, the Allies invaded Sicily, in preparation for an advance through Italy, the ""soft underbelly"" of the Axis, as Winston Churchill called it.","['10 July 1943', 'Sicily', 'Italy', 'Axis', 'Winston Churchill']",['Italy']
109,"On 9 September, the invasion of Italy began.[72] By the winter of 1943, the southern half of Italy was in Allied hands.","['9 September', 'Italy', 'the winter of 1943', 'half', 'Italy', 'Allied']","['Italy', 'Italy']"
112,"On 8 September, the Italians formally surrendered,[73] but most of Italy not in Allied hands was controlled by German troops and those loyal to Mussolini's (Mussolini had been freed by German paratroopers) new Italian Social Republic, which in reality consisted of the shrinking zone of German control.","['8 September', 'Italians', 'Italy', 'Allied', 'German', 'Mussolini', 'Mussolini', 'German', 'Italian Social Republic', 'German']",['Italy']
118,"Rommel, who was now in charge of defending France against possible Allied attack, thought the Allies would not attack during the stormy weather, and was on holiday in Germany.[77]","['Rommel', 'France', 'Allied']",['France']
119,"Besides this, the Germans were expecting an attack, but at the natural harbor of Calais and not the beaches of Normandy; They did not know about the Allies' artificial harbours, and false leads planted by the Allies suggested Calais as the landing site.[78]U.S. assault troops approaching Omaha Beach, 6 June 1944.By this time, the war was looking ever darker for Germany.","['Germans', 'Calais', 'Normandy', 'Calais', 'Omaha Beach', '6 June 1944.By', 'Germany']",['Germany']
123,"The German propaganda minister, Joseph Goebbels, rallied the Nazis and hunted down the conspirators, arresting up to 7000 people in the wake of the plot, according to some estimates.[80]In France, the Allies took Normandy and finally Paris on 25 August.[81]","['German', 'Joseph Goebbels', 'Nazis', '7000', 'France', 'Normandy', 'Paris', '25 August.[81']",['France']
134,"The west went to Britain, France, and the U.S. Post-war Germany would be split between the four, as would Berlin.","['Britain', 'France', 'the U.S. Post-war Germany', 'four', 'Berlin']",['France']
136,"The Soviets launched a devastating attack from Poland into Germany and Eastern Europe, intending to take Berlin.","['Soviets', 'Poland', 'Germany', 'Eastern Europe', 'Berlin']","['Poland', 'Germany']"
137,"The Germans collapsed in the West, allowing the Allies to fan out across Germany.","['Germans', 'West', 'Germany']",['Germany']
138,"However, the Supreme Allied Commander, American general Dwight D. Eisenhower, refused to strike for Berlin, and instead became obsessed with reports of possible guerrilla activity in southern Germany, which in reality existed mainly in the propaganda of Joseph Goebbels.[86]","['the Supreme Allied Commander', 'American', 'Dwight D. Eisenhower', 'Berlin', 'Germany', 'Joseph Goebbels.[86']",['Germany']
143,"The war in the Pacific[edit]Main article: Asiatic-Pacific TheaterBackground[edit]The first event that is usually linked to the later Pacific conflict was the Mukden Incident of 18 September 1931, during which the Japanese military staged the bombing of the South Manchuria Railway and pinned the blame on Chinese dissidents.[89] Japan then used this as pretext to invade northeastern China the next day and turn the region of Manchuria into the Japanese puppet state of Manchukuo.[90]","['Asiatic-Pacific', 'first', 'the Mukden Incident of', 'September 1931', 'Japanese', 'the South Manchuria Railway', 'Chinese', 'Japan', 'China', 'the next day', 'Manchuria', 'Japanese']",['Japan']
144,"After the League of Nations commissioned the 1932 Lytton Report, which exposed the Mukden Incident as a Japanese ruse, Japan was left internationally isolated, withdrawing from the League of Nations in March 1933.","['the League of Nations', '1932', 'Lytton Report', 'the Mukden Incident', 'Japanese', 'Japan', 'the League of Nations', 'March 1933']",['Japan']
145,"In 1934 Manchukuo became a constitutional monarchy and the former Chinese Emperor Pu Yi was placed on the throne, despite the real power being held by Japan.[91]Despite relations between Japan and China suffering because the occupation of Manchuria, the situation did not turn into all-out war until 7 July 1937, when a dispute between Chinese and Japanese soldiers turned into a battle during the Marco Polo Bridge Incident.[92]","['1934', 'Manchukuo', 'Chinese', 'Pu Yi', 'Japan', 'China', 'Manchuria', '7 July 1937', 'Chinese', 'Japanese', 'the Marco Polo Bridge']",['Japan']
147,"Japan enjoyed some early major victories, capturing both Shanghai and the Chinese capital of Nanjing in 1937 and forcing the Chinese central government 's relocation to Chongqing.","['Japan', 'Shanghai', 'Chinese', 'Nanjing', '1937', 'Chinese', 'Chongqing']",['Japan']
148,"Following Chinese victories in Changsha and Guangxi in 1939, the war reached somewhat of a stalemate, with Japan controlling the large cities, but being unable to rule the vast countryside.[94] On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy.[95]Japanese Expansion[edit]USS West Virginia during the attack on Pearl HarborOn 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the U.S. Pacific Fleet from interfering with its planned expansion in the area.[96]","['Chinese', 'Changsha', 'Guangxi', '1939', 'Japan', '27 September 1940', 'Japan', 'the Tripartite Pact', 'Germany', 'Italy.[95]Japanese', 'West Virginia', 'Pearl HarborOn 7', 'December 1941', 'Japan', 'American', 'Pearl Harbor', 'the U.S. Pacific Fleet']","['Japan', 'Japan', 'Germany', 'Japan']"
149,"The next day, following Roosevelt's Infamy Speech, the United States declared war on Japan, marking the official entry of both nations in World War 2.[97][98]","['next day', 'Roosevelt', 'Infamy Speech', 'the United States', 'Japan', 'World War 2.[97][98']",['Japan']
150,"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines.[99]The next six months were dominated by Japanese victories against the Allied forces, already war-weary and stretched thin after two years of war in Europe and North Africa.","['Japan', 'Thailand', 'British', 'Malaya', 'Singapore', 'Hong Kong', 'American', 'Guam', 'Wake Island', 'Japanese', 'Allied', 'two years', 'Europe', 'North Africa']","['Japan', 'Thailand', 'Singapore']"
151,"Japan managed to capture British Burma, New Guinea, the Dutch East Indies, the Solomon Islands, Bali and Timor.[100] In March 1942, days before the surrender of the Philippines, general Douglas MacArthur, who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war, was forced to flee and narrowly escape to Australia.[101]","['Japan', 'British Burma', 'New Guinea', 'the Dutch East Indies', 'the Solomon Islands', 'Bali', 'March 1942, days', 'Philippines', 'Douglas MacArthur', 'United States Army Forces', 'the Far East']","['Japan', 'Philippines']"
152,"On 19 February 1942, Japan also launched a devastating aerial attack on the Australian city of Darwin, in what was the first attack by a foreign power on Australian soil.[102]The turning of the tide came in early May, during the Battle of the Coral Sea, which proved the first strategic victory of the Allies against Japanese expansion.[103] This was followed one month later by the Battle of Midway, in which the US Navy defeated an attacking Japanese fleet, inflicting devastating damage on the attacking force.","['19 February 1942', 'Japan', 'Australian', 'Darwin', 'first', 'Australian', 'early May', 'the Battle of the Coral Sea', 'first', 'Japanese', 'one month later', 'the Battle of Midway', 'the US Navy', 'Japanese']",['Japan']
155,"The losses suffered during this Battle of Midway, paired with the campaign of attrition that was taking place in Solomon Islands, left Japan unable to replenish its forces and turned the tides of war against it.","['this Battle of Midway', 'Solomon Islands', 'Japan']","['Solomon Islands', 'Japan']"
156,"By August 1942, the Allied forces were on the offensive, earning victories in the New Guinea campaign at Guadalcanal, Milne Bay and Buna-Gona.[106]Allied offensive[edit]A map of the Japanese advance from 1937 to 1942Over the next two years the Allies slowly captured one island base after another, trying to get closer to Japan itself, where it planned to launch massive strategic air attacks and, only if absolutely necessary, execute a ground invasion.","['August 1942', 'Allied', 'New Guinea', 'Guadalcanal', 'Milne Bay', 'Japanese', '1937', '1942Over', 'the next two years', 'Allies', 'one', 'Japan']",['Japan']
157,"By July 1944, the US recaptured Guam and captured Tinian, which finally put them in attacking range of mainland Japan using the new Boeing B-29 bombers.[107] Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea, where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers.[108]","['July 1944', 'US', 'Guam', 'Tinian', 'Japan', 'Boeing', 'B-29', 'South-East Asia', 'Japanese', 'India', 'Pacific', 'the Battle of the Philippine Sea', 'Japan']","['Japan', 'India', 'Japan']"
161,"Capturing the island meant not only a better launch station for aerial attacks against mainland Japan, but also the prevention of its use as an early-warning station against air raids.",['Japan'],['Japan']
163,"Despite the American troops outnumbering the Japanese to a rate of more than 3 to 1, the USA suffered heavy casualties in the 36 days of fighting, with over 6,800 Marines killed and another 20,000 wounded,[113] leading some historians to question the strategic worth of the action.[114] With Japan struggling to defend the homeland islands, counteroffensives in other parts of the Japanese Empire became more feasible, with important battles taking place in Burma, Borneo and China.","['American', 'Japanese', 'more than 3 to 1', 'USA', 'the 36 days', 'over 6,800', 'Marines', 'Japan', 'the Japanese Empire', 'Burma', 'Borneo', 'China']",['Japan']
166,"Final days[edit]The assaults on both Iwo Jima and Okinawa proved incredibly costly in terms of American lives and president Truman was horrified at the prospect of Operation Downfall, a planned boots-on-the-ground invasion of mainland Japan that was estimated to lead to over a million casualties among American soldiers.[118]","['Iwo Jima', 'Okinawa', 'American', 'Truman', 'Operation Downfall', 'Japan', 'over a million', 'American']",['Japan']
168,"Following the Potsdam Declaration of 26 July, where the Allies threatened ""prompt and utter destruction"" should Japan not surrender,[119] the decision was made to resort to the first use of atomic bombs.","['the Potsdam Declaration', '26 July', 'Allies', 'Japan', 'first']",['Japan']
179,"After the conquest of Poland, the Third Reich, which had previously deported Jews and other ""undesirables"", suddenly had within its borders the largest concentration of Jews in the world.","['Poland', 'Jews', 'Jews']",['Poland']
183,"The Nazis created a system of extermination camps throughout Poland, and began rounding up Jews from the Soviet Union, and from the Ghettos.[131][132] Not only were Jews shot or gassed to death en masse, but they were forced to provide slave labor and they were used in horrific medical experiments (see Human experimentation in Nazi Germany).[133] Out of the widespread condemnation of the Nazis' medical experiments, the Nuremberg Code of medical ethics was devised.[134]The Nazis took a sadistic pleasure in the death camps; the entrance to the most notorious camp, Auschwitz, stated ""Arbeit Macht Frei""—""Work Sets You Free"".[135]","['Nazis', 'Poland', 'Jews', 'the Soviet Union', 'Jews', 'Nazi', 'Nazis', 'the Nuremberg Code', 'Nazis', 'Auschwitz', 'Arbeit Macht Frei""—""Work Sets You Free"".[135]']",['Poland']
191,"However, Germany had surrendered in May 1945, and it had been discovered that the German atomic bomb program had not been very close to success.[147]The first nuclear explosion, named ""Trinity"", was detonated on 16 July 1945.The Allied team produced two nuclear weapons for use in the war, one powered by uranium-235 and the other by plutonium as fissionable material, named ""Little Boy"" and ""Fat Man"".[148] These were dropped on the Japanese cities of Hiroshima and Nagasaki on 6 and 9 August 1945 each.","['Germany', 'May 1945', 'German', 'first', '16 July', 'Allied', 'two', '""Little Boy""', 'Japanese', 'Hiroshima', 'Nagasaki', '6 and 9 August 1945']",['Germany']
198,This new weapon was alone over 400 times as powerful as the weapons used against Japan.,"['over 400', 'Japan']",['Japan']
202,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.[154] South Africa developed six crude weapons in the 1980s (which it later dismantled),[155] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.[156]","['nine', 'today', 'the United States', 'the Soviet Union', 'Russia', 'the United Kingdom', 'France', 'China', 'India', 'Pakistan', 'Israel', 'North Korea.[154]', 'South Africa', 'six', 'the 1980s', 'Israel']","['Russia', 'France', 'India', 'Pakistan', 'Israel', 'South Africa', 'Israel']"
203,"The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation,[157] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.[158][159]The post-war world[edit]Main article: Post–World War II economic expansionFollowing World War II, the majority of the industrialized world lay in ruins as a result of aerial bombings, naval bombardment, and protracted land campaigns.","['the Nuclear Non-proliferation Treaty', '1968', 'Libya', 'Iran', 'World War II', 'World War II']","['Libya', 'Iran']"
205,"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Soviet Union.","['Germany', 'the United States', 'Great Britain', 'France', 'the Soviet Union']","['Germany', 'France']"
207,"Japan was also placed under U.S. occupation, that would last seven years, until 1952.[163]","['Japan', 'U.S.', 'last seven years', '1952.[163']",['Japan']
208,"Oddly, these two Axis powers, despite military occupation, soon rose to become the second (Japan) and third (West Germany)","['two', 'second', 'Japan', 'third', 'West Germany']",['Japan']
214,"The end of empires: decolonization[edit]Michael Somare, the first leader of an independent Papua New Guinea.","['decolonization[edit]Michael Somare', 'first', 'Papua New Guinea']",['Papua New Guinea']
217,"In India, Mahatma Gandhi became a global icon for his non-violent struggle to achieve Indian independence whereas Mohamed Ali Jinnah advocated for the independence of a separate state for Muslims.","['India', 'Mahatma Gandhi', 'Indian', 'Mohamed Ali Jinnah', 'Muslims']",['India']
218,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971.[170][171]","['1947', 'British', 'India', 'the Partition of the', 'India', 'Pakistan', ""the People's Republic of Bangladesh""]","['India', 'India', 'Pakistan']"
219,"Elsewhere in Asia, The United States granted independence to the Philippines, its major Pacific possession in 1946.[172]","['Asia', 'The United States', 'Philippines', 'Pacific', '1946.[172']",['Philippines']
220,"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam.[173]In Africa, nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule.[174]","['French', 'Indochina', 'French', 'the early 1950s', 'Laos', 'Cambodia', 'Vietnam.[173]In Africa', 'Jomo Kenyatta', 'Kenya', 'Kwame Nkrumah', 'Ghana']","['Laos', 'Cambodia', 'Kenya', 'Ghana']"
221,"Mere decades before, the British Empire controlled almost half of the continent, but by 1968, the only British possession in Africa was Seychelles (which would also become independent in 1976).","['British Empire', 'almost half', '1968', 'British', 'Africa', 'Seychelles', '1976']",['Seychelles']
230,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR),[184] Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR),[185] part of eastern Finland (which became the Karelo-Finnish SSR)[186] and eastern Romania (part of which became the Moldavian SSR)[187] were now wholly part of Soviet Union.","['Eastern Poland', 'the Ukrainian SSR),[184] Latvia', 'the Latvian SSR', 'Estonia', 'Estonian', 'Lithuania', 'Finland', 'Karelo', 'Romania', 'Moldavian', 'Soviet Union']","['Estonia', 'Lithuania', 'Finland', 'Romania']"
231,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czechoslovakia, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics.[188] While they remained independent countries and their relation with the Soviet authorities would fluctuate over the next half century, they were widely seen as Soviet satellite states.","['between 1945 and 1949', 'Yugoslavia', 'Albania', 'Bulgaria', 'Poland', 'Romania', 'Czechoslovakia', 'Hungary', 'East Germany', ""People's Republics.[188] While"", 'Soviet', 'the next half century', 'Soviet']","['Albania', 'Bulgaria', 'Poland', 'Romania', 'Hungary']"
232,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam.[189]The spread of the communist ideology in general and the Soviet influence in particular made Western leaders nervous and it even lead to Churchill considering a preemptive attack on the USSR even before World War II was formally ended.[190]The two rival blocks also coalesced into formal mutual defense organizations, with the formation of the North Atlantic Treaty Organization (NATO) in 1949[191] and the Warsaw Pact in 1955,[192] each determine to expand its own influence among unaligned countries and limit the influence of their rivals.","['Europe', 'communist', 'Mongolia', 'China', 'North Korea', 'Cuba', 'Soviet', 'Western', 'Churchill', 'USSR', 'World War II', 'two', 'the North Atlantic Treaty Organization', 'NATO', '1949[191', 'the Warsaw Pact', '1955,[192']","['Mongolia', 'Cuba']"
